url,image,name,type,rarity,artist,set,price,ability,HP,set_number
https://limitlesstcg.com/cards/DRI/131,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_131_R_EN_LG.png,Marnie's Liepard,Darkness,Uncommon,Hasuno,Destined Rivals (DRI),0.05,None,100,131
https://limitlesstcg.com/cards/DRI/99,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_099_R_EN_LG.png,Meditite,Fighting,Common,MINAMINAMI Take,Destined Rivals (DRI),0.06,None,70,99
https://limitlesstcg.com/cards/DRI/4,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_004_R_EN_LG.png,Pineco,Grass,Common,YASHIRO Nanaco,Destined Rivals (DRI),0.04,None,70,4
https://limitlesstcg.com/cards/DRI/149,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_149_R_EN_LG.png,Team Rocket's Meowth,Colorless,Common,Megumi Mizutani,Destined Rivals (DRI),0.08,None,70,149
https://limitlesstcg.com/cards/DRI/68,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_068_R_EN_LG.png,Electabuzz,Lightning,Common,Amelicart,Destined Rivals (DRI),0.04,None,90,68
https://limitlesstcg.com/cards/DRI/78,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_078_R_EN_LG.png,Zeraora,Lightning,Rare,Ryuta Fuse,Destined Rivals (DRI),0.11,None,100,78
https://limitlesstcg.com/cards/DRI/23,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_023_R_EN_LG.png,Arboliva ex,Grass,Double Rare,PLANETA Tsuji,Destined Rivals (DRI),0.58,None,310,23
https://limitlesstcg.com/cards/DRI/43,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_043_R_EN_LG.png,Heat Rotom,Fire,Common,Dsuke,Destined Rivals (DRI),0.07,None,80,43
https://limitlesstcg.com/cards/DRI/231,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_231_R_EN_LG.png,Team Rocket's Mewtwo ex,Psychic,Special Art Rare,Iwamoto05,Destined Rivals (DRI),472.19,Power Saver,280,231
https://limitlesstcg.com/cards/DRI/189,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_189_R_EN_LG.png,Rapidash,Fire,Art Rare,Rond,Destined Rivals (DRI),5.72,Hurried Gait,110,189
https://limitlesstcg.com/cards/DRI/223,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_223_R_EN_LG.png,Team Rocket's Archer,Trainer,Ultra Rare,Hideki Ishikawa,Destined Rivals (DRI),2.48,None,None,223
https://limitlesstcg.com/cards/DRI/233,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_233_R_EN_LG.png,Team Rocket's Nidoking ex,Darkness,Special Art Rare,Uninori,Destined Rivals (DRI),99.83,None,330,233
https://limitlesstcg.com/cards/DRI/206,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_206_R_EN_LG.png,Yanmega ex,Grass,Ultra Rare,takuyoa,Destined Rivals (DRI),1.56,Buzzing Boost,280,206
